DATE,OPEN,HIGH,LOW,CLOSE,VOL,Return_%,True_Range,Avg_Daily_Vol,Trading_Days
1994-10-21,47.0,47.23,46.36,46.56,929000.0,-0.94,0.87,185800.0,5
1994-10-28,46.58,47.7,46.0,47.66,845000.0,2.32,1.7,169000.0,5
1994-11-04,47.55,47.59,46.33,46.33,798000.0,-2.57,1.26,159600.0,5
1994-11-11,46.44,47.33,46.28,46.41,1216000.0,-0.06,1.05,243200.0,5
1994-11-18,46.61,47.09,46.27,46.47,979000.0,-0.3,0.82,195800.0,5
1994-11-25,46.44,46.58,44.61,45.47,1446000.0,-2.09,1.97,361500.0,4
1994-12-02,45.45,45.95,45.05,45.56,1163000.0,0.24,0.9,232600.0,5
1994-12-09,45.66,45.81,44.69,45.05,1419000.0,-1.34,1.12,283800.0,5
1994-12-16,44.95,46.03,44.95,45.75,821000.0,1.78,1.08,164200.0,5
1994-12-23,45.75,46.27,45.61,46.06,2669000.0,0.68,0.66,533800.0,5
1994-12-30,46.22,46.41,45.56,45.56,2873000.0,-1.43,0.85,718250.0,4
1995-01-06,45.7,46.25,45.69,46.05,1214000.0,0.77,0.56,303500.0,4
1995-01-13,46.03,46.73,45.81,46.73,700000.0,1.52,0.92,140000.0,5
1995-01-20,46.72,47.08,46.45,46.55,498000.0,-0.36,0.63,99600.0,5
1995-01-27,46.23,47.23,46.2,47.11,203000.0,1.9,1.03,40600.0,5
1995-02-03,47.02,48.11,46.84,48.03,1072000.0,2.15,1.27,214400.0,5
1995-02-10,48.02,48.47,47.97,48.36,2169000.0,0.71,0.5,433800.0,5
1995-02-17,48.33,48.77,48.25,48.45,830000.0,0.25,0.52,166000.0,5
1995-02-24,48.45,49.16,48.42,49.0,1265000.0,1.14,0.74,316250.0,4
1995-03-03,48.86,49.03,48.48,48.78,1797000.0,-0.16,0.55,359400.0,5
1995-03-10,48.45,49.39,48.22,49.27,679000.0,1.69,1.17,135800.0,5
1995-03-17,49.23,49.81,49.17,49.56,873000.0,0.67,0.64,174600.0,5
1995-03-24,49.63,50.22,49.33,50.22,626000.0,1.19,0.89,125200.0,5
1995-03-31,50.3,50.89,49.55,50.11,1339000.0,-0.38,1.34,267800.0,5
1995-04-07,50.09,50.86,50.06,50.7,1081000.0,1.22,0.8,216200.0,5
1995-04-14,50.63,51.09,50.59,51.08,929000.0,0.89,0.5,232250.0,4
1995-04-21,51.27,51.31,50.3,50.89,1085000.0,-0.74,1.01,217000.0,5
1995-04-28,50.86,51.67,50.86,51.59,1299000.0,1.44,0.81,259800.0,5
1995-05-05,51.55,52.69,51.39,52.19,2098000.0,1.24,1.3,419600.0,5
1995-05-12,52.14,52.88,52.09,52.75,1141000.0,1.17,0.79,228200.0,5
1995-05-19,52.89,53.16,51.91,52.09,1500000.0,-1.51,1.25,300000.0,5
1995-05-26,52.27,53.42,52.23,52.56,1623000.0,0.55,1.19,324600.0,5
1995-06-02,52.69,53.92,52.38,53.55,1550000.0,1.63,1.54,387500.0,4
1995-06-09,53.55,54.05,52.75,53.06,911000.0,-0.92,1.3,182200.0,5
1995-06-16,53.23,54.23,53.2,53.97,1488000.0,1.39,1.03,297600.0,5
1995-06-23,54.13,55.16,54.09,55.02,1193000.0,1.64,1.07,238600.0,5
1995-06-30,54.86,54.95,54.06,54.41,1277000.0,-0.82,0.89,255400.0,5
1995-07-07,54.47,55.78,54.47,55.77,1104000.0,2.39,1.31,276000.0,4
1995-07-14,55.81,56.31,55.45,56.05,1784000.0,0.43,0.86,356800.0,5
1995-07-21,56.13,56.42,54.2,55.41,1293000.0,-1.28,2.22,258600.0,5
1995-07-28,55.48,56.7,55.48,56.3,987000.0,1.48,1.22,197400.0,5
1995-08-04,56.34,56.8,55.45,55.98,2165000.0,-0.64,1.35,433000.0,5
1995-08-11,56.11,56.31,55.42,55.66,1790000.0,-0.8,0.89,358000.0,5
1995-08-18,55.8,56.41,55.66,56.17,1113000.0,0.66,0.75,222600.0,5
1995-08-25,56.41,56.64,55.75,56.3,1026000.0,-0.2,0.89,205200.0,5
1995-09-01,56.45,56.75,55.77,56.66,2952000.0,0.37,0.98,590400.0,5
1995-09-08,56.83,57.55,56.73,57.55,853000.0,1.27,0.82,213250.0,4
1995-09-15,57.64,58.81,57.58,58.44,1530000.0,1.39,1.23,306000.0,5
1995-09-22,58.23,58.78,57.78,58.31,2108000.0,0.14,1.0,421600.0,5
1995-09-29,58.38,58.91,57.59,58.48,2314000.0,0.17,1.32,462800.0,5
1995-10-06,58.48,58.63,57.95,58.41,1726000.0,-0.12,0.68,345200.0,5
1995-10-13,58.19,58.86,57.27,58.63,1635000.0,0.76,1.59,327000.0,5
1995-10-20,58.45,59.19,58.3,58.83,2067000.0,0.65,0.89,413400.0,5
1995-10-27,58.55,58.89,57.28,58.19,2521000.0,-0.61,1.61,504200.0,5
1995-11-03,58.33,59.25,58.23,59.23,2354000.0,1.54,1.02,470800.0,5
1995-11-10,59.22,59.61,58.63,59.53,2326000.0,0.52,0.98,465200.0,5
1995-11-17,59.42,60.2,59.08,60.19,2591000.0,1.3,1.12,518200.0,5
1995-11-24,60.28,60.38,59.86,60.33,982000.0,0.08,0.52,245500.0,4
1995-12-01,60.45,61.2,60.16,60.98,2052000.0,0.88,1.04,410400.0,5
1995-12-08,61.13,62.53,61.05,62.16,2060000.0,1.68,1.48,412000.0,5
1995-12-15,62.28,62.8,61.59,61.81,1689000.0,-0.75,1.21,337800.0,5
1995-12-22,61.27,61.52,60.58,61.2,4353000.0,-0.11,0.94,870600.0,5
1995-12-29,61.45,61.66,61.25,61.48,1179000.0,0.05,0.41,294750.0,4
1996-01-05,61.41,62.63,61.17,61.59,2526000.0,0.29,1.46,631500.0,4
1996-01-12,61.81,62.06,59.64,60.23,2287000.0,-2.56,2.42,457400.0,5
1996-01-19,60.25,61.42,59.86,61.27,1613000.0,1.69,1.56,322600.0,5
1996-01-26,61.22,62.27,61.11,62.23,3174000.0,1.65,1.16,634800.0,5
1996-02-02,62.19,64.02,62.14,63.64,1895000.0,2.33,1.88,379000.0,5
1996-02-09,63.53,66.38,63.44,65.83,3487000.0,3.62,2.94,697400.0,5
1996-02-16,65.95,66.69,64.73,64.94,3554000.0,-1.53,1.96,710800.0,5
1996-02-23,64.44,66.61,63.88,65.94,3047000.0,2.33,2.73,761750.0,4
1996-03-01,65.75,65.89,63.61,64.89,5281000.0,-1.31,2.28,1056200.0,5
1996-03-08,65.03,65.97,62.0,63.5,4514000.0,-2.35,3.97,902800.0,5
1996-03-15,63.25,64.81,62.91,64.13,5495000.0,1.39,1.9,1099000.0,5
1996-03-22,64.72,65.94,64.58,65.16,3516000.0,0.68,1.36,703200.0,5
1996-03-29,65.75,65.81,64.38,64.69,4039000.0,-1.61,1.43,807800.0,5
1996-04-05,65.0,65.72,64.8,65.52,2635000.0,0.8,0.92,658750.0,4
1996-04-12,63.88,64.64,62.13,63.72,6051000.0,-0.25,2.51,1210200.0,5
1996-04-19,64.05,64.86,63.84,64.53,3143000.0,0.75,1.02,628600.0,5
1996-04-26,65.13,65.81,64.59,65.44,2792000.0,0.48,1.22,558400.0,5
1996-05-03,65.16,65.8,63.75,64.31,3566000.0,-1.3,2.05,713200.0,5
1996-05-10,64.56,65.59,63.08,65.38,4448000.0,1.27,2.51,889600.0,5
1996-05-17,65.53,67.31,65.47,67.19,2908000.0,2.53,1.84,581600.0,5
1996-05-24,67.66,68.44,66.98,68.17,3969000.0,0.75,1.46,793800.0,5
1996-05-31,68.38,68.38,66.75,66.88,2926000.0,-2.19,1.63,731500.0,4
1996-06-07,66.89,68.5,66.19,67.63,3481000.0,1.11,2.31,696200.0,5
1996-06-14,67.53,68.03,66.72,66.94,5338000.0,-0.87,1.31,1067600.0,5
1996-06-21,66.97,67.22,66.19,66.81,4143000.0,-0.24,1.03,828600.0,5
1996-06-28,66.97,67.5,66.16,67.11,3909000.0,0.21,1.34,781800.0,5
1996-07-05,67.28,67.7,65.38,65.58,2011000.0,-2.53,2.32,502750.0,4
1996-07-12,65.63,65.98,63.88,64.56,5658000.0,-1.63,2.1,1131600.0,5
1996-07-19,64.72,64.72,60.38,63.97,10000000.0,-1.16,4.34,2000000.0,5
1996-07-26,63.53,63.94,61.63,63.72,7162000.0,0.3,2.31,1432400.0,5
1996-08-02,63.63,66.59,62.94,66.56,6267000.0,4.6,3.65,1253400.0,5
1996-08-09,66.58,66.77,65.8,66.22,3842000.0,-0.54,0.97,768400.0,5
1996-08-16,66.25,66.88,66.0,66.84,3211000.0,0.89,0.88,642200.0,5
1996-08-23,66.86,67.34,66.38,66.86,2690000.0,0.0,0.96,538000.0,5
1996-08-30,66.7,67.0,65.13,65.33,3582000.0,-2.05,1.87,716400.0,5
1996-09-06,64.47,66.75,64.38,65.94,4152000.0,2.28,2.37,1038000.0,4
1996-09-13,66.19,68.63,66.08,68.56,4816000.0,3.58,2.55,963200.0,5
1996-09-20,68.66,69.16,68.22,68.64,3389000.0,-0.03,0.94,677800.0,5
1996-09-27,68.47,69.25,68.16,68.69,4348000.0,0.32,1.09,869600.0,5
