DATE,OPEN,HIGH,LOW,CLOSE,VOL,Return_%,True_Range,Avg_Daily_Vol,Trading_Days
2000-12-31,133.19,139.56,125.53,131.19,165600000.0,-1.5,14.03,8280000.0,20
2001-01-31,132.0,138.7,127.56,137.02,181100000.0,3.8,11.14,8623810.0,21
2001-02-28,137.1,137.99,121.8,123.95,178500000.0,-9.59,16.19,9394737.0,19
2001-03-31,124.05,127.75,108.04,116.69,318500000.0,-5.93,19.71,14477273.0,22
2001-04-30,116.3,127.27,109.3,126.66,251600000.0,8.91,17.97,12580000.0,20
2001-05-31,125.07,132.09,123.44,125.95,207900000.0,0.7,8.65,9450000.0,22
2001-06-30,126.2,129.23,120.4,122.6,203600000.0,-2.85,8.83,9695238.0,21
2001-07-31,122.8,124.32,116.75,121.35,196800000.0,-1.18,7.57,9371429.0,21
2001-08-31,121.97,123.25,112.04,114.15,269600000.0,-6.41,11.21,11721739.0,23
2001-09-30,113.85,116.17,93.8,104.44,419200000.0,-8.27,22.37,27946667.0,15
2001-10-31,103.9,111.79,102.83,105.8,512700000.0,1.83,8.96,22291304.0,23
2001-11-30,106.6,116.9,105.7,114.05,372600000.0,6.99,11.2,17742857.0,21
2001-12-31,113.65,118.0,112.0,114.3,308300000.0,0.57,6.0,15415000.0,20
2002-01-31,115.11,117.99,108.4,113.18,349200000.0,-1.68,9.59,16628571.0,21
2002-02-28,113.09,113.3,107.82,111.15,424500000.0,-1.72,5.48,22342105.0,19
2002-03-31,111.72,117.9,111.51,114.52,385300000.0,2.51,6.39,19265000.0,20
2002-04-30,114.23,115.1,106.63,107.86,404600000.0,-5.58,8.47,18390909.0,22
2002-05-31,107.97,111.25,104.9,107.22,452600000.0,-0.69,6.35,20572727.0,22
2002-06-30,107.09,107.6,95.19,98.96,535000000.0,-7.59,12.41,26750000.0,20
2002-07-31,99.18,99.8,77.68,91.16,1124300000.0,-8.09,22.12,51104545.0,22
2002-08-31,90.88,97.15,83.55,91.78,936200000.0,0.99,13.6,42554545.0,22
2002-09-30,90.73,93.33,80.9,81.79,1013700000.0,-9.85,12.43,50685000.0,20
2002-10-31,82.43,91.29,77.07,88.52,1344100000.0,7.39,14.22,58439130.0,23
2002-11-30,88.35,94.95,87.45,93.98,818300000.0,6.37,7.5,40915000.0,20
2002-12-31,95.47,96.05,87.11,88.23,728300000.0,-7.58,8.94,34680952.0,21
2003-01-31,88.85,93.86,84.15,86.06,911000000.0,-3.14,9.71,43380952.0,21
2003-02-28,86.14,86.81,81.0,84.9,862400000.0,-1.44,5.81,45389474.0,19
2003-03-31,85.26,89.88,79.38,84.74,1156700000.0,-0.61,10.5,55080952.0,21
2003-04-30,85.25,92.8,84.91,91.91,996100000.0,7.81,7.89,47433333.0,21
2003-05-31,91.92,97.09,90.5,96.95,881400000.0,5.47,6.59,41971429.0,21
2003-06-30,97.53,102.18,96.67,97.63,867900000.0,0.1,5.51,41328571.0,21
2003-07-31,97.25,101.9,96.43,99.39,895500000.0,2.2,5.47,40704545.0,22
2003-08-31,99.19,101.82,96.34,101.44,772700000.0,2.27,5.48,36795238.0,21
2003-09-30,101.64,104.7,99.25,99.95,818500000.0,-1.66,5.45,38976190.0,21
2003-10-31,100.24,105.97,100.2,105.3,831800000.0,5.05,5.77,36165217.0,23
2003-11-30,105.75,106.95,103.62,106.45,630800000.0,0.66,3.33,33200000.0,19
2003-12-31,106.85,111.52,105.96,111.28,678500000.0,4.15,5.56,30840909.0,22
2004-01-31,111.74,116.5,110.73,113.48,737700000.0,1.56,5.77,36885000.0,20
2004-02-29,113.7,116.6,112.78,115.02,676900000.0,1.16,3.82,35626316.0,19
2004-03-31,115.43,116.97,108.85,113.1,1125000000.0,-2.02,8.12,48913043.0,23
2004-04-30,113.07,115.41,110.9,110.96,968800000.0,-1.87,4.51,46133333.0,21
2004-05-31,111.37,113.26,108.06,112.86,981300000.0,1.34,5.2,49065000.0,20
2004-06-30,112.46,114.94,111.87,114.53,721500000.0,1.84,3.07,34357143.0,21
2004-07-31,114.25,114.4,108.21,110.84,954700000.0,-2.98,6.19,45461905.0,21
2004-08-31,110.19,111.63,106.59,111.11,922900000.0,0.83,5.04,41950000.0,22
2004-09-30,110.95,113.74,110.41,111.76,790800000.0,0.73,3.33,37657143.0,21
2004-10-31,112.26,114.68,109.35,113.2,1044100000.0,0.84,5.33,49719048.0,21
2004-11-30,113.56,119.14,113.2,117.89,962000000.0,3.81,5.94,45809524.0,21
2004-12-31,118.16,121.66,117.73,120.87,909000000.0,2.29,3.93,41318182.0,22
2005-01-31,121.56,121.76,116.37,118.16,1184000000.0,-2.8,5.39,59200000.0,20
2005-02-28,118.25,121.67,118.1,120.63,1025600000.0,2.01,3.57,53978947.0,19
2005-03-31,120.82,123.25,116.25,117.96,1330500000.0,-2.37,7.0,60477273.0,22
2005-04-30,118.63,119.26,113.55,115.75,1633200000.0,-2.43,5.71,77771429.0,21
2005-05-31,116.07,120.25,114.8,119.48,1334700000.0,2.94,5.45,63557143.0,21
2005-06-30,119.52,121.94,118.75,119.18,1089500000.0,-0.28,3.19,49522727.0,22
2005-07-31,119.45,124.64,118.26,123.74,1176500000.0,3.59,6.38,58825000.0,20
2005-08-31,123.83,124.74,120.38,122.58,1306600000.0,-1.01,4.36,56808696.0,23
2005-09-30,122.52,124.74,120.44,123.04,1287200000.0,0.42,4.3,61295238.0,21
2005-10-31,122.96,123.34,116.88,120.13,1784800000.0,-2.3,6.46,84990476.0,21
2005-11-30,120.58,127.41,120.13,125.41,1183800000.0,4.01,7.28,56371429.0,21
2005-12-31,126.02,128.09,124.36,124.51,1073000000.0,-1.2,3.73,51095238.0,21
2006-01-31,125.19,129.44,124.39,127.5,1234000000.0,1.85,5.05,61700000.0,20
2006-02-28,127.82,130.04,125.4,128.23,1145200000.0,0.32,4.64,60273684.0,19
2006-03-31,128.6,131.47,127.18,129.83,1350700000.0,0.96,4.29,58726087.0,23
2006-04-30,130.07,131.86,128.02,131.47,1300400000.0,1.08,3.84,68442105.0,19
2006-05-31,131.47,132.8,124.76,127.51,1752700000.0,-3.01,8.04,79668182.0,22
2006-06-30,127.38,129.43,122.34,127.28,2164000000.0,-0.08,7.09,98363636.0,22
2006-07-31,127.43,128.14,122.39,127.85,1691500000.0,0.33,5.75,84575000.0,20
2006-08-31,127.34,131.04,126.28,130.64,1420300000.0,2.59,4.76,61752174.0,23
2006-09-30,131.14,133.99,129.35,133.58,1363800000.0,1.86,4.64,68190000.0,20
2006-10-31,133.54,139.0,132.65,137.79,1443300000.0,3.18,6.35,65604545.0,22
2006-11-30,138.22,141.16,135.62,140.53,1502000000.0,1.67,5.54,71523810.0,21
2006-12-31,140.53,143.24,138.97,141.62,1213100000.0,0.78,4.27,60655000.0,20
2007-01-31,142.25,144.13,140.25,143.75,1330500000.0,1.05,3.88,66525000.0,20
